Symbol,Price,Price Time,Status,High Date,High,Low Date,Low,Entry Date,Entry,SL,Target,Distance %,Trades,Wins,Losses,Timeouts,Resolved Trades,Win Rate %,Avg Return %,Expectancy %,Avg Holding Days,Avg Win Days,Median Win Days,Avg Loss Days,Fast <=5d %,Fast <=10d %,Fast <=20d %,Return / Day,Quality Score,Grade,Live Grade,Speed Group,Current State,Opportunity,Opportunity Score V3
ASTRAMICRO.NS,1622.4000244140625,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-07-31,1960.0,2026-09-16,1537.0999755859375,,1869.4993947753903,1748.5499877929688,2069.954006347656,13.217408417027896,11.0,7.0,3.0,1.0,10.0,70.0,6.049985937056814,6.049985937056814,16.90909090909091,14.142857142857142,6.0,8.333333333333334,42.85714285714285,57.14285714285714,71.42857142857143,0.3577948672452954,75.67,A+,A+,FAST,FAR,WATCH,67.06
SIGMA.NS,45.61000061035156,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-01-14,63.5,2026-03-30,35.459999084472656,,57.49943980407715,49.47999954223633,70.79040023803711,20.67748700550389,9.0,6.0,3.0,0.0,9.0,66.66666666666666,5.868947653331461,5.868947653331461,3.888888888888889,4.0,2.5,3.333333333333333,66.66666666666666,83.33333333333334,100.0,1.5091579679995186,78.67,A+,A,FAST,FAR,WATCH,67.0
LGHL.NS,182.9900054931641,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2025-10-10,395.0,2026-08-19,168.0,,346.422,281.5,454.02,47.177140743612114,13.0,9.0,4.0,0.0,13.0,69.23076923076923,5.018930261268612,5.018930261268612,6.307692307692308,6.777777777777778,6.0,4.5,44.44444444444444,77.77777777777779,100.0,0.7956840658108776,75.81,A+,A+,FAST,FAR,WATCH,65.37
INDOTECH.NS,3177.699951171875,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-24,4030.0,2026-09-25,3050.10009765625,,3820.3014208984378,3540.050048828125,4284.773974609375,16.820700749194792,15.0,9.0,6.0,0.0,15.0,60.0,3.5685913631931694,3.5685913631931694,3.2,2.555555555555556,2.0,3.8333333333333335,88.88888888888889,100.0,100.0,1.115184800997865,76.08,A+,A+,FAST,FAR,WATCH,64.98
BCONCEPTS.NS,148.16000366210938,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2025-09-24,449.0,2026-09-25,147.7100067138672,,384.5239414367676,298.3550033569336,527.3353982543945,61.46923827200151,13.0,8.0,5.0,0.0,13.0,61.53846153846154,4.803442714483389,4.803442714483389,6.0,6.875,4.5,3.8,62.5,87.5,87.5,0.8005737857472316,76.37,A+,A+,FAST,FAR,WATCH,64.32
KRITIKA.NS,5.039999961853027,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2025-10-14,9.550000190734863,2026-03-30,4.5,,8.469300149917602,7.025000095367432,10.863000240325928,40.4909511690637,7.0,5.0,2.0,0.0,7.0,71.42857142857143,12.148303376425371,12.148303376425371,16.857142857142858,23.0,11.0,0.0,40.0,40.0,60.0,0.7206620647031999,72.57,A,B,MEDIUM,FAR,WATCH,64.26
SPMLINFRA.NS,165.86000061035156,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2025-09-22,284.0,2026-03-30,151.00999450683594,,255.5401388244629,217.504997253418,318.57740142822263,35.09434511018832,11.0,6.0,5.0,0.0,11.0,54.54545454545454,5.870604069874392,5.870604069874392,8.181818181818182,11.5,3.0,3.8,66.66666666666666,66.66666666666666,66.66666666666666,0.7175182752068702,73.16,A,A,FAST,FAR,WATCH,64.05
SHAILY.NS,3142.300048828125,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-11,3615.199951171875,2026-09-16,3040.0,,3492.107161621094,3327.599975585937,3764.7519384765615,10.01707841722081,16.0,9.0,7.0,0.0,16.0,56.25,5.668844248905428,5.668844248905428,6.9375,11.0,7.0,1.0,33.33333333333333,77.77777777777779,77.77777777777779,0.8171307025449265,72.64,A,A,FAST,FAR,WATCH,63.99
BEARDSELL.NS,24.46999931335449,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2025-10-28,37.369998931884766,2026-04-01,20.020000457763672,,33.65709925842285,28.69499969482422,41.88099853515625,27.29617271687264,12.0,7.0,5.0,0.0,12.0,58.333333333333336,5.273291584786584,5.273291584786584,6.666666666666667,7.285714285714286,5.0,5.4,71.42857142857143,85.71428571428571,85.71428571428571,0.7909937377179875,75.64,A+,A,FAST,FAR,WATCH,63.97
KERNEX.NS,1693.5,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-06,2580.0,2026-09-16,1593.0,,2368.782,2086.5,2836.62,28.507562114200468,18.0,11.0,7.0,0.0,18.0,61.11111111111112,4.788569047512334,4.788569047512334,10.88888888888889,6.909090909090909,6.0,16.714285714285715,45.45454545454545,72.72727272727273,100.0,0.4397665451797041,72.7,A,A,FAST,FAR,WATCH,63.91
