SYMBOL,NIFTY50,FNO,SMALLCAP250,MICROCAP250
DCMSHRIRAM,NO,NO,YES,NO
DCMSIL,NO,NO,NO,NO
DCMSRIND,NO,NO,NO,NO
DCW,NO,NO,NO,NO
DCXINDIA,NO,NO,NO,NO
DDEVPLSTIK,NO,NO,NO,NO
DECCANCE,NO,NO,NO,NO
DECNGOLD,NO,NO,NO,NO
DEEDEV,NO,NO,NO,NO
DEEP,NO,NO,NO,NO
DEEPAKFERT,NO,NO,YES,NO
DEEPAKNTR,NO,NO,YES,NO
DEEPINDS,NO,NO,NO,NO
DELHIVERY,NO,YES,YES,NO
DELTACORP,NO,NO,NO,NO
DELTAMAGNT,NO,NO,NO,NO
DEN,NO,NO,NO,NO
DENORA,NO,NO,NO,NO
DENTA,NO,NO,NO,NO
DEVIT,NO,NO,NO,NO
DEVX,NO,NO,NO,NO
DEVYANI,NO,NO,YES,NO
DGCONTENT,NO,NO,NO,NO
DHABRIYA,NO,NO,NO,NO
DHAMPURSUG,NO,NO,NO,NO
DHANBANK,NO,NO,NO,NO
DHANUKA,NO,NO,NO,NO
DHARMAJ,NO,NO,NO,NO
DHATRE,NO,NO,NO,NO
DHOOTTRANS,NO,NO,NO,NO
DHRUV,NO,NO,NO,NO
DHUNINV,NO,NO,NO,NO
DIAMINESQ,NO,NO,NO,NO
DIAMONDYD,NO,NO,NO,NO
DICIND,NO,NO,NO,NO
DIFFNKG,NO,NO,NO,NO
DIGIDRIVE,NO,NO,NO,NO
DIGISPICE,NO,NO,NO,NO
DIGITIDE,NO,NO,NO,NO
DIGJAMLMTD,NO,NO,NO,NO
DISAQ,NO,NO,NO,NO
DISHTV,NO,NO,NO,NO
DIVGIITTS,NO,NO,NO,NO
DIVISLAB,NO,YES,NO,NO
DIXON,NO,YES,NO,NO
DJML,NO,NO,NO,NO
DLF,NO,YES,NO,NO
DLINKINDIA,NO,NO,NO,NO
DMART,NO,YES,NO,NO
DMCC,NO,NO,NO,NO
DNAMEDIA,NO,NO,NO,NO
DODLA,NO,NO,NO,NO
DOLATALGO,NO,NO,NO,NO
DOLLAR,NO,NO,NO,NO
DOLPHIN,NO,NO,NO,NO
DOMS,NO,NO,YES,NO
DONEAR,NO,NO,NO,NO
DPABHUSHAN,NO,NO,NO,NO
DRAGARWQ,NO,NO,NO,NO
DRCSYSTEMS,NO,NO,NO,NO
DREAMFOLKS,NO,NO,NO,NO
DREDGECORP,NO,NO,NO,NO
DRREDDY,YES,YES,NO,NO
DSSL,NO,NO,NO,NO
DTIL,NO,NO,NO,NO
DUCON,NO,NO,NO,NO
DVL,NO,NO,NO,NO
DWARKESH,NO,NO,NO,NO
DYCL,NO,NO,NO,NO
DYNAMATECH,NO,NO,NO,YES
DYNPRO,NO,NO,NO,NO
EASEMYTRIP,NO,NO,NO,NO
EASTWEST,NO,NO,NO,NO
EBGNG,NO,NO,NO,NO
EBIX,NO,NO,NO,NO
ECLERX,NO,NO,YES,NO
ECORECO,NO,NO,NO,NO
EDELWEISS,NO,NO,NO,YES
EFCIL,NO,NO,NO,NO
EICHERMOT,YES,YES,NO,NO
EIDPARRY,NO,NO,YES,NO
EIEL,NO,NO,NO,YES
EIHAHOTELS,NO,NO,NO,NO
EIHOTEL,NO,NO,YES,NO
EIMCOELECO,NO,NO,NO,NO
EKC,NO,NO,NO,NO
EKI,NO,NO,NO,NO
ELANTAS,NO,NO,NO,NO
ELCIDIN,NO,NO,NO,NO
ELDEHSG,NO,NO,NO,NO
ELECON,NO,NO,YES,NO
ELECTCAST,NO,NO,NO,YES
ELECTHERM,NO,NO,NO,NO
ELGIEQUIP,NO,NO,YES,NO
ELGIRUBCO,NO,NO,NO,NO
ELIN,NO,NO,NO,NO
ELITECON,NO,NO,NO,NO
ELLEN,NO,NO,NO,YES
ELPROINTL,NO,NO,NO,NO
EMAMILTD,NO,NO,YES,NO
EMAMIREAL,NO,NO,NO,NO
EMBDL,NO,NO,NO,YES
EMCURE,NO,NO,YES,NO
EMIL,NO,NO,NO,YES
EMKAY,NO,NO,NO,NO
EMMVEE,NO,NO,YES,NO
EMPIND,NO,NO,NO,NO
EMPOWER,NO,NO,NO,NO
EMSLIMITED,NO,NO,NO,NO
EMUDHRA,NO,NO,NO,NO
ENDURANCE,NO,NO,NO,NO
ENERGYDEV,NO,NO,NO,NO
ENGINERSIN,NO,NO,YES,NO
ENIL,NO,NO,NO,NO
ENKEIWHEL,NO,NO,NO,NO
ENRIN,NO,NO,NO,NO
ENTERO,NO,NO,NO,YES
EPACK,NO,NO,NO,NO
EPACKPEB,NO,NO,NO,NO
EPIGRAL,NO,NO,NO,NO
EPL,NO,NO,NO,YES
EQUITASBNK,NO,NO,NO,YES
ERIS,NO,NO,YES,NO
ESABINDIA,NO,NO,NO,NO
ESCORTS,NO,NO,NO,NO
ESSARSHPNG,NO,NO,NO,NO
ESSENTIA,NO,NO,NO,NO
ESTER,NO,NO,NO,NO
ETERNAL,YES,YES,NO,NO
ETHOSLTD,NO,NO,NO,YES
EUREKAFORB,NO,NO,NO,YES
EUROBOND,NO,NO,NO,NO
